

id,name,url,address,lat,lon,tags,description,image_url,price,student_text
225,JELLY JELLY CAFE 中野店,https://jellyjellycafe.com/nakano,〒164-0001 東京都中野区中野5-66-4 井口ビル2F,35.70862300,139.66599600,,,,,
226,JELLY JELLY CAFE 北千住店,https://jellyjellycafe.com/kitasenju,〒120-0034 東京都足立区千住2-61 ビックリヤ北千住西口ビル4F,35.74962700,139.80456300,,,,,
227,JELLY JELLY CAFE 吉祥寺店,https://jellyjellycafe.com/kichijoji,〒180-0004 東京都武蔵野市吉祥寺本町1-10-9 富澤ビル4F,35.70343000,139.57978400,,,,,
228,JELLY JELLY CAFE 立川店,https://jellyjellycafe.com/tachikawa,〒190-0023 東京都立川市柴崎町3-6-23 LXビル6F,35.69785800,139.41315300,,,,,
229,JELLY JELLY CAFE 渋谷宮益坂店,https://jellyjellycafe.com/shibuya-miyamasuzaka,〒150-0002 東京都渋谷区渋谷1-12-24 707渋谷ビル4F,35.66080300,139.70339500,,,,,
230,JELLY JELLY CAFE 池袋店,https://jellyjellycafe.com/ikebukuro,〒171-0021 東京都豊島区西池袋3-29-9 福利ビル3F,35.72967300,139.70716200,,,,,
231,快活CLUB 練馬笹目通り店,https://www.navitime.co.jp/category/0104002007/13/,東京都練馬区南田中5-3-17,35.73368800,139.62221700,,,,,
232,快活CLUB 神田駅南口店,https://www.navitime.co.jp/category/0104002007/13/,東京都千代田区鍛冶町2-1-2神田南口鋭光ビル3-5F,35.69174200,139.77088100,,,,,
233,快活CLUB 新宿歌舞伎町店,https://www.navitime.co.jp/category/0104002007/13/,東京都新宿区歌舞伎町1-5-22-9F,35.69520800,139.70285600,,,,,
234,快活CLUB 浜松町店,https://www.navitime.co.jp/category/0104002007/13/,東京都港区浜松町2-1-1,35.65546200,139.75710100,,,,,
235,快活CLUB 赤坂見附駅前店,https://www.navitime.co.jp/category/0104002007/13/,東京都港区赤坂3-9-7 2F・3F,35.67668200,139.73662300,,,,,
236,快活CLUB 新宿駅西口店,https://www.navitime.co.jp/category/0104002007/13/,東京都新宿区西新宿1-8-5 4F,35.68958100,139.69916200,,,,,
237,快活CLUB 上野広小路店,https://www.navitime.co.jp/category/0104002007/13/,東京都台東区上野1-20-10,35.70786400,139.77337700,,,,,
238,快活CLUB 上野御徒町店,https://www.navitime.co.jp/category/0104002007/13/,東京都台東区上野4-2-6上野西田ビル2F,35.70877800,139.77392100,,,,,
239,快活CLUB 渋谷センター街店,https://www.navitime.co.jp/category/0104002007/13/,東京都渋谷区宇田川町24-10 2F-4F,35.66198500,139.69928400,,,,,
240,快活CLUB 銀座店,https://www.navitime.co.jp/category/0104002007/13/,東京都中央区銀座4-2-17,35.67186400,139.76493600,,,,,
241,快活CLUB 池袋東口駅前2号店,https://www.navitime.co.jp/category/0104002007/13/,東京都豊島区南池袋1-21-2ヒューマックスパビリオン南池袋7・8F,35.72992800,139.71235100,,,,,
242,快活CLUB 新宿駅東口店,https://www.navitime.co.jp/category/0104002007/13/,東京都新宿区新宿3丁目34-11ピースビル6,35.69195400,139.70354900,,,,,
243,快活CLUB 新宿駅西口2号店,https://www.navitime.co.jp/category/0104002007/13/,東京都新宿区西新宿1-19-14西新宿B&V 4-6F,35.68918900,139.69779000,,,,,
244,快活CLUB 中目黒駅前店,https://www.navitime.co.jp/category/0104002007/13/,東京都目黒区上目黒3-7-6,35.64431400,139.69863200,,,,,
245,快活CLUB 赤坂店,https://www.navitime.co.jp/category/0104002007/13/,東京都港区赤坂2-14-33 赤坂三田ビル6F,35.67349300,139.73755000,,,,,
246,快活CLUB 池袋サンシャイン60通り店,https://www.navitime.co.jp/category/0104002007/13/?page=2,東京都豊島区東池袋1-29-1 サントロペビル5F,35.72951600,139.71482000,,,,,
247,快活CLUB 吉祥寺サンロード店,https://www.navitime.co.jp/category/0104002007/13/?page=2,東京都武蔵野市吉祥寺本町1-11-30 サンロードプラザダイアパレス3F,35.70420600,139.57963200,,,,,
248,快活CLUB 調布南口店,https://www.navitime.co.jp/category/0104002007/13/?page=2,東京都調布市布田4-2-4 シーエフ調布駅前ビル4F,35.65146900,139.54330700,,,,,
249,快活CLUB 府中店,https://www.navitime.co.jp/category/0104002007/13/?page=2,東京都府中市宮西町1-3-3 Bビル6F,35.66984100,139.48070100,,,,,
250,快活CLUB 西葛西駅前店,https://www.navitime.co.jp/category/0104002007/13/?page=2,東京都江戸川区西葛西3-15-12,35.66475600,139.85950300,,,,,
